subject,relation,object,chunk_id,object_chunk,source
Arduino Due,USES,Atmel Sam3X8E,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Atmel Sam3X8E,USES,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Arduino Due,SUPPORTS,Embedded Systems Development,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Embedded Systems Development,SUPPORTS,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Arduino Due,SUPPORTS,Robotics,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Robotics,SUPPORTS,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Arduino Due,SUPPORTS,3D Printing & Cnc Machines,Due-datasheet::c2,Due-datasheet::c2,llmagraph
3D Printing & Cnc Machines,SUPPORTS,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Arduino Due,SUPPORTS,Prototyping,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Prototyping,SUPPORTS,Arduino Due,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Embedded Systems Development,USES,Sensors,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Embedded Systems Development,USES,Sensors,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Embedded Systems Development,USES,Sensors,Due-datasheet::c2,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Embedded Systems Development,USES,Sensors,Due-datasheet::c2,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Sensors,USES,Embedded Systems Development,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Sensors,USES,Embedded Systems Development,Arduino Portenta Mid Carrier Proto Shield::c10,Due-datasheet::c2,llmagraph
Sensors,USES,Embedded Systems Development,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Sensors,USES,Embedded Systems Development,Arduino Portenta Mid Carrier Proto Shield::c10,Due-datasheet::c2,llmagraph
Robotics,USES,Sensors,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Robotics,USES,Sensors,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Robotics,USES,Sensors,Due-datasheet::c2,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Robotics,USES,Sensors,Due-datasheet::c2,Arduino Portenta Mid Carrier Proto Shield::c10,llmagraph
Sensors,USES,Robotics,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Sensors,USES,Robotics,Arduino Portenta Mid Carrier Proto Shield::c10,Due-datasheet::c2,llmagraph
Sensors,USES,Robotics,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Sensors,USES,Robotics,Arduino Portenta Mid Carrier Proto Shield::c10,Due-datasheet::c2,llmagraph
Robotics,USES,Actuators,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Actuators,USES,Robotics,Due-datasheet::c2,Due-datasheet::c2,llmagraph
3D Printing & Cnc Machines,USES,Actuators,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Actuators,USES,3D Printing & Cnc Machines,Due-datasheet::c2,Due-datasheet::c2,llmagraph
Mkr Iot Carrier Rev2,USES,Heaters,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Heaters,USES,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,USES,Relays,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Relays,USES,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,HAS_SENSOR,Rgb Light Sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Rgb Light Sensor,HAS_SENSOR,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,HAS_SENSOR,Moisture Sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Moisture Sensor,HAS_SENSOR,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,HAS_SENSOR,Pressure Sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Pressure Sensor,HAS_SENSOR,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,HAS_SENSOR,Temperature Sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Temperature Sensor,HAS_SENSOR,Mkr Iot Carrier Rev2,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
Mkr Iot Carrier Rev2,HAS_SENSOR,Humidity Sensor,MKR IoT Carrier Rev2-datasheet::c3,MKR IoT Carrier Rev2-datasheet::c3,llmagraph
